current_episode,neutering_rate,vaccination_rate,weekly_kill_rate,money,reward,optimal_rates,dog_population,rabid_dog_population,vaccinated_dog_population
0,0.25,0.25,0.2,0,-10000002.0,8.0,0,0,0
0,0.1,0.2,0.05,0,-9999990.5,8.0,6,2,3
0,0.2,0.15000000000000002,0.05,0,-10000000.5,8.0,0,0,0
0,0.25,0.6,0.1,0,-10000001.0,8.0,0,0,0
0,0.1,0.2,0.05,0,-9999990.5,8.0,7,4,3
0,0.15000000000000002,0.2,0.1,0,-9999991.0,8.0,2,2,2
0,0.2,0.2,0.05,950.0,9.5,8.0,4,1,2
0,0.44999999999999996,0.15000000000000002,0.0,0,-10000000.0,9.5,0,0,0
0,0.44999999999999996,1.3877787807814457e-17,0.05,0,-10000000.5,9.5,0,0,0
0,0.35,0.2,0.0,0,-9999990.0,9.5,0,0,0
0,0.65,0.2,0.1,0,-10000001.0,9.0,0,0,0
0,0.25,0.2,0.05,892.75,9.5,9.0,9,5,6
1,0.2,0.2,0.05,0,-9999990.5,9.0,8,5,4
1,0.44999999999999996,0.39999999999999997,0.0,0,-10000000.0,9.0,0,0,0
1,0.35,0.2,0.0,0,-10000000.0,9.0,0,0,0
1,0.39999999999999997,0.25,0.05,0,-10000000.5,9.0,0,0,0
1,0.49999999999999994,0.0,0.05,0,-10000000.5,9.0,0,0,0
1,0.15000000000000002,0.2,0.05,1000,9.5,9.0,28,15,18
2,0.39999999999999997,0.2,0.15000000000000002,0,-10000001.5,8.5,0,0,0
2,0.3,0.6,0.1,0,-10000001.0,8.5,0,0,0
2,0.39999999999999997,0.2,0.05,0,-9999990.5,8.5,2,2,2
2,0.5499999999999999,0.2,0.15000000000000002,0,-10000001.5,8.5,0,0,0
2,0.3,0.2,0.05,828.25,9.5,8.5,3,2,2
3,0.3,0.35,0.15000000000000002,0,-10000001.5,8.5,0,0,0
3,0.3,0.2,0.0,0,-9999990.0,8.5,0,0,0
3,0.35,0.2,0.05,0,-10000000.5,8.5,0,0,0
3,0.25,0.25,0.0,0,-9999990.0,8.5,0,0,0
3,0.25,0.2,0.05,835.5,9.5,8.5,5,1,3
4,0.39999999999999997,0.2,0.05,0,-9999990.5,8.5,3,2,3
4,0.44999999999999996,0.2,0.05,0,-9999990.5,8.5,1,0,1
4,0.39999999999999997,0.2,0.05,0,-10000000.5,8.5,0,0,0
4,0.35,1.3877787807814457e-17,0.05,0,-10000000.5,8.5,0,0,0
4,0.49999999999999994,0.2,0.05,497.75,9.5,8.5,2,0,2
5,0.39999999999999997,0.2,0.05,0,-9999990.5,8.5,0,0,0
5,0.3,1.3877787807814457e-17,0.05,0,-10000000.5,8.5,0,0,0
5,0.2,0.35,0.05,0,-9999990.5,8.5,1,1,1
5,0.3,0.3,0.0,0,-9999990.0,8.5,0,0,0
5,0.25,0.35,0.05,0,-9999990.5,8.5,1,1,1
5,0.25,0.25,0.05,664.1500000000001,9.5,8.5,3,0,3
6,0.25,0.39999999999999997,0.05,0,-10000000.5,8.5,0,0,0
6,0.2,0.3,0.15000000000000002,0,-10000001.5,8.5,0,0,0
6,0.25,0.2,0.05,0,-10000000.5,8.5,2,0,2
6,0.1,0.25,0.05,0,-10000000.5,8.5,0,0,0
6,0.2,0.2,0.05,172.92256249999994,9.5,8.5,2,1,1
7,0.25,0.2,0.0,0,-10000000.0,8.5,0,0,0
7,0.35,0.2,0.05,0,-9999990.5,8.5,2,0,2
7,0.2,0.25,0.05,0,-10000000.5,8.5,1,0,1
7,0.35,0.2,0.05,0,-9999990.5,8.5,3,2,3
7,0.3,0.2,0.05,0,-9999990.5,8.5,2,0,1
7,0.25,0.2,0.0,0,-9999990.0,8.5,2,1,2
7,0.3,0.2,0.05,0,-9999990.5,8.5,2,0,2
7,0.1,0.2,0.05,1000,9.5,8.5,26,10,18
8,0.25,0.2,0.0,0,-10000000.0,8.5,0,0,0
8,0.1,0.2,0.05,0,-9999990.5,8.5,9,3,3
8,0.3,0.25,0.1,0,-10000001.0,8.5,2,1,2
8,0.3,0.2,0.1,0,-9999991.0,8.5,0,0,0
8,0.15000000000000002,0.2,0.05,0,-9999990.5,8.5,3,2,2
8,0.2,0.2,0.05,0,-9999990.5,8.5,1,1,1
8,0.25,0.2,0.05,0,-9999990.5,8.5,0,0,0
8,0.2,0.2,0.1,333.05000000000007,9.0,8.5,1,1,1
9,0.2,0.2,0.0,0,-10000000.0,8.5,0,0,0
9,0.35,0.2,0.05,0,-9999990.5,8.5,0,0,0
9,0.25,0.25,0.05,0,-10000000.5,8.5,2,1,2
9,0.15000000000000002,0.2,0.05,0,-9999990.5,8.5,5,2,5
9,0.1,0.2,0.05,0,-10000000.5,8.5,2,0,2
9,0.15000000000000002,0.15000000000000002,0.05,0,-9999990.5,8.5,2,1,2
9,0.35,0.2,0.05,0,-9999990.5,8.5,2,1,2
9,0.1,0.2,0.0,769.1375,10.0,8.5,7,4,3
