current_episode,step_count,neutering_rate,vaccination_rate,weekly_kill_rate,money,reward,dog_population,rabid_dog_population,vaccinated_dog_population
0,1,0.1,0.2,0.05,1000,0,10,4,3
0,2,0.1,0.2,0.1,957.25,9.0,7,3,3
0,3,0.15000000000000002,0.2,0.1,913.25,9.0,5,2,3
0,4,0.2,0.2,0.1,862.0,9.0,2,1,1
0,5,0.2,0.2,0.1,803.5,9.0,2,1,2
0,6,0.2,0.2,0.15000000000000002,745.0,8.5,1,1,1
0,7,0.25,0.2,0.15000000000000002,685.25,8.5,1,1,1
0,8,0.25,0.25,0.15000000000000002,618.25,8.5,0,0,0
0,9,0.25,0.25,0.15000000000000002,549.5,8.5,0,0,0
0,10,0.25,0.25,0.15000000000000002,480.75,8.5,0,0,0
0,11,0.25,0.25,0.15000000000000002,412.0,8.5,0,0,0
0,12,0.25,0.25,0.15000000000000002,343.25,8.5,0,0,0
0,13,0.25,0.25,0.2,274.5,8.0,0,0,0
0,14,0.25,0.25,0.2,204.5,8.0,0,0,0
0,15,0.25,0.25,0.2,134.5,8.0,0,0,0
0,16,0.25,0.25,0.2,64.5,-2.0,0,0,0
0,17,0.1,0.2,0.05,1000,9.5,6,2,3
0,18,0.15000000000000002,0.2,0.05,1000,9.5,5,2,2
0,19,0.2,0.2,0.05,950.0,9.5,4,1,3
0,20,0.2,0.2,0.05,892.75,9.5,3,1,2
0,21,0.2,0.2,0.05,790.8625,9.5,2,1,1
0,22,0.2,0.2,0.05,688.9749999999999,9.5,2,1,2
0,23,0.2,0.25,0.05,587.0874999999999,9.5,1,1,1
0,24,0.2,0.2,0.05,483.4499999999999,9.5,1,1,1
0,25,0.2,0.15000000000000002,0.05,381.5624999999999,9.5,0,0,0
0,26,0.2,0.15000000000000002,0.05,281.4249999999999,9.5,0,0,0
0,27,0.2,0.15000000000000002,0.05,181.2874999999999,9.5,0,0,0
0,28,0.2,0.15000000000000002,0.05,81.1499999999999,-0.5,0,0,0
0,29,0.1,0.25,0.05,1000,-40.5,9,5,7
0,30,0.15000000000000002,0.25,0.05,955.5,9.5,5,3,4
0,31,0.2,0.25,0.05,903.75,9.5,3,2,2
0,32,0.25,0.25,0.05,844.75,9.5,2,1,1
0,33,0.25,0.25,0.05,778.5,9.5,2,1,1
0,34,0.25,0.25,0.05,712.25,9.5,1,1,0
0,35,0.25,0.25,0.05,646.0,9.5,1,1,0
0,36,0.25,0.25,0.05,579.75,9.5,0,0,0
0,37,0.25,0.3,0.05,513.5,9.5,0,0,0
